start_frame,end_frame,start_sec,end_sec,duration_sec
23422,23969,936.88,958.76,21.92
24365,24709,974.6,988.36,13.8
25111,25269,1004.44,1010.76,6.36
25824,25924,1032.96,1036.96,4.04
26203,26432,1048.12,1057.28,9.2
27511,27661,1100.44,1106.44,6.04
28003,28503,1120.12,1140.12,20.04
29117,29260,1164.68,1170.4,5.76
29745,30155,1189.8,1206.2,16.44
30940,31074,1237.6,1242.96,5.4
31536,31703,1261.44,1268.12,6.72
32853,33238,1314.12,1329.52,15.44
33981,34193,1359.24,1367.72,8.52
35096,35551,1403.84,1422.04,18.24
36048,36245,1441.92,1449.8,7.92
37441,37792,1497.64,1511.68,14.08
38204,38470,1528.16,1538.8,10.68
38843,39041,1553.72,1561.64,7.96
39543,39685,1581.72,1587.4,5.72
40093,40445,1603.72,1617.8,14.12
42270,42396,1690.8,1695.84,5.08
42743,43345,1709.72,1733.8,24.12
44332,44589,1773.28,1783.56,10.32
45884,46191,1835.36,1847.64,12.32
46576,47166,1863.04,1886.64,23.64
47873,48061,1914.92,1922.44,7.56
48485,48949,1939.4,1957.96,18.6
49589,49700,1983.56,1988.0,4.48
51089,51590,2043.56,2063.6,20.08
52840,52981,2113.6,2119.24,5.68
53625,54006,2145.0,2160.24,15.28
55292,55429,2211.68,2217.16,5.52
56059,56245,2242.36,2249.8,7.48
56698,56811,2267.92,2272.44,4.56
58168,58311,2326.72,2332.44,5.76
59245,59978,2369.8,2399.12,29.36
61485,61659,2459.4,2466.36,7.0
62217,62609,2488.68,2504.36,15.72
66055,66509,2642.2,2660.36,18.2
67210,67362,2688.4,2694.48,6.12
67743,67865,2709.72,2714.6,4.92
68265,68466,2730.6,2738.64,8.08
68962,69392,2758.48,2775.68,17.24
70630,70837,2825.2,2833.48,8.32
71168,71349,2846.72,2853.96,7.28
72352,72644,2894.08,2905.76,11.72
73255,73462,2930.2,2938.48,8.32
73914,74083,2956.56,2963.32,6.8
74556,75326,2982.24,3013.04,30.84
75890,76091,3035.6,3043.64,8.08
77011,77269,3080.44,3090.76,10.36
77912,78303,3116.48,3132.12,15.68
79687,80008,3187.48,3200.32,12.88
80994,81275,3239.76,3251.0,11.28
81901,82077,3276.04,3283.08,7.08
83893,84112,3355.72,3364.48,8.8
84529,84694,3381.16,3387.76,6.64
85066,85728,3402.64,3429.12,26.52
86526,86674,3461.04,3466.96,5.96
87726,88099,3509.04,3523.96,14.96
88773,88999,3550.92,3559.96,9.08
89428,89745,3577.12,3589.8,12.72
90882,91072,3635.28,3642.88,7.64
91472,91662,3658.88,3666.48,7.64
92274,92617,3690.96,3704.68,13.76
93289,93704,3731.56,3748.16,16.64
94244,94539,3769.76,3781.56,11.84
95055,95416,3802.2,3816.64,14.48
95848,96246,3833.92,3849.84,15.96
97887,98059,3915.48,3922.36,6.92
98566,98743,3942.64,3949.72,7.12
99237,99500,3969.48,3980.0,10.56
100755,101004,4030.2,4040.16,10.0
101934,102350,4077.36,4094.0,16.68
106065,106783,4242.6,4271.32,28.76
107188,107376,4287.52,4295.04,7.56
107855,108290,4314.2,4331.6,17.44
109591,109825,4383.64,4393.0,9.4
110267,110424,4410.68,4416.96,6.32
110768,111067,4430.72,4442.68,12.0
112150,112359,4486.0,4494.36,8.4
112737,113065,4509.48,4522.6,13.16
113472,113737,4538.88,4549.48,10.64
114051,114266,4562.04,4570.64,8.64
114889,115083,4595.56,4603.32,7.8
116056,116184,4642.24,4647.36,5.16
116491,116693,4659.64,4667.72,8.12
117092,117301,4683.68,4692.04,8.4
117664,117933,4706.56,4717.32,10.8
120442,121457,4817.68,4858.28,40.64
122820,123049,4912.8,4921.96,9.2
123489,123674,4939.56,4946.96,7.44
124258,124481,4970.32,4979.24,8.96
124923,125073,4996.92,5002.92,6.04
125556,125985,5022.24,5039.4,17.2
126399,126535,5055.96,5061.4,5.48
126904,127027,5076.16,5081.08,4.96
127473,127757,5098.92,5110.28,11.4
128315,128475,5132.6,5139.0,6.44
128789,128937,5151.56,5157.48,5.96
129198,129421,5167.92,5176.84,8.96
129801,130001,5192.04,5200.04,8.04
130362,130479,5214.48,5219.16,4.72
130694,130854,5227.76,5234.16,6.44
