start_frame,end_frame,start_sec,end_sec,duration_sec
5185,5331,172.833,177.7,4.9
8077,8200,269.233,273.333,4.133
8749,9006,291.633,300.2,8.6
9400,9962,313.333,332.067,18.767
10162,10737,338.733,357.9,19.2
11127,11304,370.9,376.8,5.933
11627,12268,387.567,408.933,21.4
12705,12936,423.5,431.2,7.733
13594,13732,453.133,457.733,4.633
14112,14817,470.4,493.9,23.533
15305,15572,510.167,519.067,8.933
16281,16516,542.7,550.533,7.867
16949,17188,564.967,572.933,8.0
17653,18054,588.433,601.8,13.4
18706,18840,623.533,628.0,4.5
19146,19890,638.2,663.0,24.833
20302,20954,676.733,698.467,21.767
21367,21593,712.233,719.767,7.567
22200,22547,740.0,751.567,11.6
22963,23163,765.433,772.1,6.7
23614,24293,787.133,809.767,22.667
25836,26091,861.2,869.7,8.533
26358,26560,878.6,885.333,6.767
27045,27716,901.5,923.867,22.4
28314,28776,943.8,959.2,15.433
29347,29576,978.233,985.867,7.667
30451,31666,1015.033,1055.533,40.533
32365,32967,1078.833,1098.9,20.1
33967,34223,1132.233,1140.767,8.567
34819,35081,1160.633,1169.367,8.767
35669,35888,1188.967,1196.267,7.333
36153,36628,1205.1,1220.933,15.867
37651,37878,1255.033,1262.6,7.6
38139,38404,1271.3,1280.133,8.867
38839,39696,1294.633,1323.2,28.6
40350,40611,1345.0,1353.7,8.733
40910,41199,1363.667,1373.3,9.667
41579,41885,1385.967,1396.167,10.233
42378,42683,1412.6,1422.767,10.2
43213,43829,1440.433,1460.967,20.567
44549,45206,1484.967,1506.867,21.933
47447,47882,1581.567,1596.067,14.533
48118,48575,1603.933,1619.167,15.267
48847,49421,1628.233,1647.367,19.167
49711,50396,1657.033,1679.867,22.867
50985,51180,1699.5,1706.0,6.533
51661,51881,1722.033,1729.367,7.367
52411,52568,1747.033,1752.267,5.267
53073,53558,1769.1,1785.267,16.2
54042,54254,1801.4,1808.467,7.1
54585,55164,1819.5,1838.8,19.333
56009,56438,1866.967,1881.267,14.333
57019,57300,1900.633,1910.0,9.4
57661,58253,1922.033,1941.767,19.767
58752,59078,1958.4,1969.267,10.9
59702,60022,1990.067,2000.733,10.7
60606,60809,2020.2,2026.967,6.8
61151,61924,2038.367,2064.133,25.8
62811,63146,2093.7,2104.867,11.2
64733,64860,2157.767,2162.0,4.267
64937,65506,2164.567,2183.533,19.0
65862,66396,2195.4,2213.2,17.833
67024,67287,2234.133,2242.9,8.8
67391,67667,2246.367,2255.567,9.233
68787,69527,2292.9,2317.567,24.7
69943,70407,2331.433,2346.9,15.5
71281,71628,2376.033,2387.6,11.6
72030,72362,2401.0,2412.067,11.1
72789,73941,2426.3,2464.7,38.433
74770,75497,2492.333,2516.567,24.267
76413,76967,2547.1,2565.567,18.5
77543,77883,2584.767,2596.1,11.367
78294,78578,2609.8,2619.267,9.5
79251,79970,2641.7,2665.667,24.0
80719,81200,2690.633,2706.667,16.067
81984,82733,2732.8,2757.767,25.0
82999,84060,2766.633,2802.0,35.4
85347,85509,2844.9,2850.3,5.433
85894,86158,2863.133,2871.933,8.833
86649,87052,2888.3,2901.733,13.467
87821,88064,2927.367,2935.467,8.133
88650,89082,2955.0,2969.4,14.433
89659,90137,2988.633,3004.567,15.967
