start_frame,end_frame,start_sec,end_sec,duration_sec
11396,12315,455.84,492.6,36.8
12689,13126,507.56,525.04,17.52
13425,13868,537.0,554.72,17.76
14384,14546,575.36,581.84,6.52
14853,15314,594.12,612.56,18.48
16022,16256,640.88,650.24,9.4
16497,16825,659.88,673.0,13.16
17218,17644,688.72,705.76,17.08
18180,18441,727.2,737.64,10.48
18954,19292,758.16,771.68,13.56
19657,20003,786.28,800.12,13.88
20535,21249,821.4,849.96,28.6
21859,22078,874.36,883.12,8.8
22455,22671,898.2,906.84,8.68
23053,23448,922.12,937.92,15.84
24831,25326,993.24,1013.04,19.84
25799,26195,1031.96,1047.8,15.88
26839,27856,1073.56,1114.24,40.72
29267,29474,1170.68,1178.96,8.32
31399,31728,1255.96,1269.12,13.2
32236,32399,1289.44,1295.96,6.56
32787,32959,1311.48,1318.36,6.92
33400,33650,1336.0,1346.0,10.04
33989,34358,1359.56,1374.32,14.8
34534,34701,1381.36,1388.04,6.72
35059,35261,1402.36,1410.44,8.12
35823,36498,1432.92,1459.92,27.04
36999,37406,1479.96,1496.24,16.32
38054,38423,1522.16,1536.92,14.8
38849,39198,1553.96,1567.92,14.0
39988,40278,1599.52,1611.12,11.64
40594,40831,1623.76,1633.24,9.52
41093,41940,1643.72,1677.6,33.92
42517,42715,1700.68,1708.6,7.96
43847,44106,1753.88,1764.24,10.4
44411,44756,1776.44,1790.24,13.84
48214,48762,1928.56,1950.48,21.96
49546,50573,1981.84,2022.92,41.12
51206,51334,2048.24,2053.36,5.16
51602,52416,2064.08,2096.64,32.6
52944,53207,2117.76,2128.28,10.56
53628,54174,2145.12,2166.96,21.88
54486,55422,2179.44,2216.88,37.48
57017,57612,2280.68,2304.48,23.84
57979,58312,2319.16,2332.48,13.36
58579,58957,2343.16,2358.28,15.16
59995,60474,2399.8,2418.96,19.2
60963,61206,2438.52,2448.24,9.76
61746,62137,2469.84,2485.48,15.68
62545,62713,2501.8,2508.52,6.76
63151,63420,2526.04,2536.8,10.8
63925,64333,2557.0,2573.32,16.36
64910,65229,2596.4,2609.16,12.8
65533,65749,2621.32,2629.96,8.68
67601,68022,2704.04,2720.88,16.88
69417,69715,2776.68,2788.6,11.96
70453,70659,2818.12,2826.36,8.28
70924,71340,2836.96,2853.6,16.68
71979,72774,2879.16,2910.96,31.84
73298,73725,2931.92,2949.0,17.12
74092,74232,2963.68,2969.28,5.64
74661,74929,2986.44,2997.16,10.76
75377,75901,3015.08,3036.04,21.0
76250,76817,3050.0,3072.68,22.72
77603,77839,3104.12,3113.56,9.48
78294,78734,3131.76,3149.36,17.64
79369,79656,3174.76,3186.24,11.52
80445,80958,3217.8,3238.32,20.56
81722,82161,3268.88,3286.44,17.6
82602,83755,3304.08,3350.2,46.16
85464,86051,3418.56,3442.04,23.52
86456,86533,3458.24,3461.32,3.12
87285,87581,3491.4,3503.24,11.88
88252,88881,3530.08,3555.24,25.2
