start_frame,end_frame,start_sec,end_sec,duration_sec
11330,11667,453.2,466.68,13.52
11877,12003,475.08,480.12,5.08
12287,12985,491.48,519.4,27.96
13429,13584,537.16,543.36,6.24
13914,14289,556.56,571.56,15.04
14938,15084,597.52,603.36,5.88
15363,15507,614.52,620.28,5.8
15779,15968,631.16,638.72,7.6
16230,16833,649.2,673.32,24.16
17420,17661,696.8,706.44,9.68
17980,18132,719.2,725.28,6.12
18166,19133,726.64,765.32,38.72
19573,20541,782.92,821.64,38.76
20950,21865,838.0,874.6,36.64
21913,22146,876.52,885.84,9.36
23053,23469,922.12,938.76,16.68
23820,24350,952.8,974.0,21.24
24975,26094,999.0,1043.76,44.8
27392,27778,1095.68,1111.12,15.48
28231,28746,1129.24,1149.84,20.64
29121,29374,1164.84,1174.96,10.16
31391,31501,1255.64,1260.04,4.44
31751,31888,1270.04,1275.52,5.52
32340,32627,1293.6,1305.08,11.52
32908,33231,1316.32,1329.24,12.96
33606,34116,1344.24,1364.64,20.44
34891,35096,1395.64,1403.84,8.24
35142,35308,1405.68,1412.32,6.68
35757,36105,1430.28,1444.2,13.96
36542,37782,1461.68,1511.28,49.64
38366,38580,1534.64,1543.2,8.6
39803,39927,1592.12,1597.08,5.0
39953,40201,1598.12,1608.04,9.96
40612,41247,1624.48,1649.88,25.44
41737,41866,1669.48,1674.64,5.2
42215,42484,1688.6,1699.36,10.8
42790,43117,1711.6,1724.68,13.12
43664,43829,1746.56,1753.16,6.64
44108,44247,1764.32,1769.88,5.6
44396,44853,1775.84,1794.12,18.32
48267,48632,1930.68,1945.28,14.64
48955,49126,1958.2,1965.04,6.88
49578,49743,1983.12,1989.72,6.64
50014,50115,2000.56,2004.6,4.08
50294,50411,2011.76,2016.44,4.72
50692,50821,2027.68,2032.84,5.2
50853,50943,2034.12,2037.72,3.64
51248,51733,2049.92,2069.32,19.44
52397,52520,2095.88,2100.8,4.96
52732,53730,2109.28,2149.2,39.96
55065,55462,2202.6,2218.48,15.92
55874,56430,2234.96,2257.2,22.28
56784,57064,2271.36,2282.56,11.24
57105,57211,2284.2,2288.44,4.28
57943,58145,2317.72,2325.8,8.12
58783,59030,2351.32,2361.2,9.92
59385,59641,2375.4,2385.64,10.28
59957,60293,2398.28,2411.72,13.48
60650,60871,2426.0,2434.84,8.88
62706,63115,2508.24,2524.6,16.4
63694,64268,2547.76,2570.72,23.0
64653,64792,2586.12,2591.68,5.6
65111,65518,2604.44,2620.72,16.32
65969,66210,2638.76,2648.4,9.68
66242,66308,2649.68,2652.32,2.68
66711,66953,2668.44,2678.12,9.72
67604,68721,2704.16,2748.84,44.72
69162,69266,2766.48,2770.64,4.2
70144,70487,2805.76,2819.48,13.76
70511,71003,2820.44,2840.12,19.72
71541,71738,2861.64,2869.52,7.92
72014,72305,2880.56,2892.2,11.68
72825,73908,2913.0,2956.32,43.36
74275,74666,2971.0,2986.64,15.68
75058,75637,3002.32,3025.48,23.2
76916,77150,3076.64,3086.0,9.4
77745,77932,3109.8,3117.28,7.52
78221,78782,3128.84,3151.28,22.48
79771,80611,3190.84,3224.44,33.64
82374,82536,3294.96,3301.44,6.52
83791,84716,3351.64,3388.64,37.04
85799,86213,3431.96,3448.52,16.6
87095,87557,3483.8,3502.28,18.52
91156,91304,3646.24,3652.16,5.96
91655,92011,3666.2,3680.44,14.28
92723,93150,3708.92,3726.0,17.12
93543,93921,3741.72,3756.84,15.16
94814,95111,3792.56,3804.44,11.92
95797,96642,3831.88,3865.68,33.84
97104,97584,3884.16,3903.36,19.24
98061,98484,3922.44,3939.36,16.96
99919,100367,3996.76,4014.68,17.96
101498,102119,4059.92,4084.76,24.88
103029,103416,4121.16,4136.64,15.52
103926,104098,4157.04,4163.92,6.92
104516,104684,4180.64,4187.36,6.76
105291,105478,4211.64,4219.12,7.52
105519,105648,4220.76,4225.92,5.2
106524,106595,4260.96,4263.8,2.88
106865,107165,4274.6,4286.6,12.04
107583,107959,4303.32,4318.36,15.08
108307,108390,4332.28,4335.6,3.36
108832,109830,4353.28,4393.2,39.96
110478,110858,4419.12,4434.32,15.24
112838,113444,4513.52,4537.76,24.28
113906,114453,4556.24,4578.12,21.92
114955,115541,4598.2,4621.64,23.48
116194,116353,4647.76,4654.12,6.4
116765,117401,4670.6,4696.04,25.48
118871,119983,4754.84,4799.32,44.52
121512,121814,4860.48,4872.56,12.12
122310,122515,4892.4,4900.6,8.24
122916,123204,4916.64,4928.16,11.56
124685,125269,4987.4,5010.76,23.4
125884,126875,5035.36,5075.0,39.68
127770,128175,5110.8,5127.0,16.24
128543,128957,5141.72,5158.28,16.6
129522,129744,5180.88,5189.76,8.92
131034,131791,5241.36,5271.64,30.32
132504,132672,5300.16,5306.88,6.76
133215,133400,5328.6,5336.0,7.44
133922,134582,5356.88,5383.28,26.44
135041,135629,5401.64,5425.16,23.56
