start_frame,end_frame,start_sec,end_sec,duration_sec
8185,8407,272.833,280.233,7.433
9958,10074,331.933,335.8,3.9
13625,13993,454.167,466.433,12.3
14327,14831,477.567,494.367,16.833
15091,15280,503.033,509.333,6.333
15461,15822,515.367,527.4,12.067
16107,16810,536.9,560.333,23.467
17741,17959,591.367,598.633,7.3
18450,19084,615.0,636.133,21.167
20017,20149,667.233,671.633,4.433
20604,20767,686.8,692.233,5.467
21049,21393,701.633,713.1,11.5
21773,22147,725.767,738.233,12.5
22626,23153,754.2,771.767,17.6
23824,24006,794.133,800.2,6.1
24893,25103,829.767,836.767,7.033
26117,26490,870.567,883.0,12.467
26756,26923,891.867,897.433,5.6
27403,27600,913.433,920.0,6.6
27865,28093,928.833,936.433,7.633
28458,28722,948.6,957.4,8.833
29076,29527,969.2,984.233,15.067
30221,30591,1007.367,1019.7,12.367
32196,32467,1073.2,1082.233,9.067
32584,32880,1086.133,1096.0,9.9
33196,33715,1106.533,1123.833,17.333
34486,34657,1149.533,1155.233,5.733
35198,35634,1173.267,1187.8,14.567
36674,37057,1222.467,1235.233,12.8
37114,37548,1237.133,1251.6,14.5
38226,38962,1274.2,1298.733,24.567
39551,39687,1318.367,1322.9,4.567
39904,40115,1330.133,1337.167,7.067
40303,40454,1343.433,1348.467,5.067
40830,41287,1361.0,1376.233,15.267
41877,42143,1395.9,1404.767,8.9
42620,42877,1420.667,1429.233,8.6
43470,43783,1449.0,1459.433,10.467
44534,44752,1484.467,1491.733,7.3
45312,45552,1510.4,1518.4,8.033
45934,46192,1531.133,1539.733,8.633
46445,46609,1548.167,1553.633,5.5
46732,47169,1557.733,1572.3,14.6
48442,48672,1614.733,1622.4,7.7
49432,50247,1647.733,1674.9,27.2
51542,52308,1718.067,1743.6,25.567
56173,56928,1872.433,1897.6,25.2
57346,57781,1911.533,1926.033,14.533
58354,58513,1945.133,1950.433,5.333
59158,59467,1971.933,1982.233,10.333
59976,60355,1999.2,2011.833,12.667
60976,61111,2032.533,2037.033,4.533
61444,61722,2048.133,2057.4,9.3
62239,62686,2074.633,2089.533,14.933
63140,63438,2104.667,2114.6,9.967
63772,63989,2125.733,2132.967,7.267
64552,64749,2151.733,2158.3,6.6
65208,65347,2173.6,2178.233,4.667
65747,66275,2191.567,2209.167,17.633
66770,67069,2225.667,2235.633,10.0
67890,68137,2263.0,2271.233,8.267
69840,70451,2328.0,2348.367,20.4
71429,72055,2380.967,2401.833,20.9
72524,72659,2417.467,2421.967,4.533
72881,73449,2429.367,2448.3,18.967
73577,74118,2452.567,2470.6,18.067
74209,75027,2473.633,2500.9,27.3
76014,76581,2533.8,2552.7,18.933
76681,76831,2556.033,2561.033,5.033
77549,78031,2584.967,2601.033,16.1
78685,78955,2622.833,2631.833,9.033
79466,79686,2648.867,2656.2,7.367
80278,80439,2675.933,2681.3,5.4
80876,81073,2695.867,2702.433,6.6
81754,82278,2725.133,2742.6,17.5
82880,83430,2762.667,2781.0,18.367
84080,84369,2802.667,2812.3,9.667
85304,85677,2843.467,2855.9,12.467
86276,86427,2875.867,2880.9,5.067
86783,87253,2892.767,2908.433,15.7
87480,87726,2916.0,2924.2,8.233
88417,89103,2947.233,2970.1,22.9
89953,90100,2998.433,3003.333,4.933
90752,91134,3025.067,3037.8,12.767
