start_frame,end_frame,start_sec,end_sec,duration_sec
6432,6670,214.4,222.333,7.967
8537,8630,284.567,287.667,3.133
10771,11361,359.033,378.7,19.7
11812,11943,393.733,398.1,4.4
12231,12912,407.7,430.4,22.733
13314,13600,443.8,453.333,9.567
14185,14583,472.833,486.1,13.3
15117,15440,503.9,514.667,10.8
15967,16288,532.233,542.933,10.733
16721,16972,557.367,565.733,8.4
17442,17969,581.4,598.967,17.6
19017,19438,633.9,647.933,14.067
20143,20859,671.433,695.3,23.9
21497,21821,716.567,727.367,10.833
22469,22629,748.967,754.3,5.367
23801,24082,793.367,802.733,9.4
24562,25001,818.733,833.367,14.667
25738,26184,857.933,872.8,14.9
26937,27202,897.9,906.733,8.867
28091,28847,936.367,961.567,25.233
29463,29668,982.1,988.933,6.867
30192,30464,1006.4,1015.467,9.1
31897,32858,1063.233,1095.267,32.067
32887,32996,1096.233,1099.867,3.667
33647,33826,1121.567,1127.533,6.0
34231,34337,1141.033,1144.567,3.567
34528,34722,1150.933,1157.4,6.5
35625,35903,1187.5,1196.767,9.3
36183,36484,1206.1,1216.133,10.067
37025,37622,1234.167,1254.067,19.933
38313,38532,1277.1,1284.4,7.333
39113,39671,1303.767,1322.367,18.633
40518,40684,1350.6,1356.133,5.567
41935,42279,1397.833,1409.3,11.5
42410,42807,1413.667,1426.9,13.267
43243,43743,1441.433,1458.1,16.7
44067,44343,1468.9,1478.1,9.233
44981,45316,1499.367,1510.533,11.2
45581,45904,1519.367,1530.133,10.8
45907,46323,1530.233,1544.1,13.9
46797,47068,1559.9,1568.933,9.067
47448,47771,1581.6,1592.367,10.8
52117,52640,1737.233,1754.667,17.467
52879,53238,1762.633,1774.6,12.0
53610,53784,1787.0,1792.8,5.833
54133,54390,1804.433,1813.0,8.6
55193,55689,1839.767,1856.3,16.567
56148,56616,1871.6,1887.2,15.633
57240,57678,1908.0,1922.6,14.633
58176,58442,1939.2,1948.067,8.9
58971,59266,1965.7,1975.533,9.867
59707,60106,1990.233,2003.533,13.333
60635,60885,2021.167,2029.5,8.367
61518,61966,2050.6,2065.533,14.967
62676,62994,2089.2,2099.8,10.633
63558,63856,2118.6,2128.533,9.967
64920,65565,2164.0,2185.5,21.533
67213,67937,2240.433,2264.567,24.167
68218,68625,2273.933,2287.5,13.6
69382,69992,2312.733,2333.067,20.367
70960,71164,2365.333,2372.133,6.833
71607,71908,2386.9,2396.933,10.067
72321,72556,2410.7,2418.533,7.867
73596,73809,2453.2,2460.3,7.133
74173,74344,2472.433,2478.133,5.733
74886,75174,2496.2,2505.8,9.633
75963,76197,2532.1,2539.9,7.833
76717,77105,2557.233,2570.167,12.967
77469,77736,2582.3,2591.2,8.933
77956,78227,2598.533,2607.567,9.067
78713,79518,2623.767,2650.6,26.867
80272,80382,2675.733,2679.4,3.7
