start_frame,end_frame,start_sec,end_sec,duration_sec
11586,12130,386.2,404.333,18.167
12340,12844,411.333,428.133,16.833
13798,14332,459.933,477.733,17.833
15389,15777,512.967,525.9,12.967
15800,15935,526.667,531.167,4.533
16469,16720,548.967,557.333,8.4
17141,17259,571.367,575.3,3.967
17291,17363,576.367,578.767,2.433
17393,17630,579.767,587.667,7.933
18081,18380,602.7,612.667,10.0
18396,18560,613.2,618.667,5.5
18582,18663,619.4,622.1,2.733
19512,19808,650.4,660.267,9.9
21849,22280,728.3,742.667,14.4
22312,22401,743.733,746.7,3.0
22448,22492,748.267,749.733,1.5
22510,22657,750.333,755.233,4.933
23118,23251,770.6,775.033,4.467
24370,24584,812.333,819.467,7.167
24923,25166,830.767,838.867,8.133
25634,25927,854.467,864.233,9.8
26253,26457,875.1,881.9,6.833
26782,26965,892.733,898.833,6.133
27010,27215,900.333,907.167,6.867
28230,28973,941.0,965.767,24.8
29762,30170,992.067,1005.667,13.633
32245,32909,1074.833,1096.967,22.167
33323,33621,1110.767,1120.7,9.967
33644,33908,1121.467,1130.267,8.833
33929,34069,1130.967,1135.633,4.7
34829,35086,1160.967,1169.533,8.6
35784,36068,1192.8,1202.267,9.5
36599,36865,1219.967,1228.833,8.9
36884,36991,1229.467,1233.033,3.6
38351,39064,1278.367,1302.133,23.8
39666,39913,1322.2,1330.433,8.267
40221,40516,1340.7,1350.533,9.867
40562,40759,1352.067,1358.633,6.6
41555,42145,1385.167,1404.833,19.7
42917,43426,1430.567,1447.533,17.0
44013,44224,1467.1,1474.133,7.067
44721,44917,1490.7,1497.233,6.567
45310,45813,1510.333,1527.1,16.8
46690,46930,1556.333,1564.333,8.033
46948,47059,1564.933,1568.633,3.733
47080,47431,1569.333,1581.033,11.733
48059,48519,1601.967,1617.3,15.367
49974,50315,1665.8,1677.167,11.4
50345,50563,1678.167,1685.433,7.3
50596,50879,1686.533,1695.967,9.467
54751,55207,1825.033,1840.233,15.233
55490,55756,1849.667,1858.533,8.9
56096,56299,1869.867,1876.633,6.8
56762,57079,1892.067,1902.633,10.6
57492,57698,1916.4,1923.267,6.9
58275,58529,1942.5,1950.967,8.5
58929,59158,1964.3,1971.933,7.667
59180,59360,1972.667,1978.667,6.033
59397,59504,1979.9,1983.467,3.6
59534,59825,1984.467,1994.167,9.733
59855,59949,1995.167,1998.3,3.167
59978,60244,1999.267,2008.133,8.9
60267,60638,2008.9,2021.267,12.4
60671,60959,2022.367,2031.967,9.633
62798,63013,2093.267,2100.433,7.2
63041,63253,2101.367,2108.433,7.1
64266,64954,2142.2,2165.133,22.967
66008,66206,2200.267,2206.867,6.633
66394,67055,2213.133,2235.167,22.067
67090,67385,2236.333,2246.167,9.867
67407,67577,2246.9,2252.567,5.7
67611,67714,2253.7,2257.133,3.467
67745,68011,2258.167,2267.033,8.9
68788,69002,2292.933,2300.067,7.167
69522,69783,2317.4,2326.1,8.733
71068,71649,2368.933,2388.3,19.4
73549,73845,2451.633,2461.5,9.9
74782,75071,2492.733,2502.367,9.667
76289,76423,2542.967,2547.433,4.5
77069,77357,2568.967,2578.567,9.633
77836,78015,2594.533,2600.5,6.0
78539,78829,2617.967,2627.633,9.7
79924,80252,2664.133,2675.067,10.967
80600,80923,2686.667,2697.433,10.8
81364,81629,2712.133,2720.967,8.867
82046,82742,2734.867,2758.067,23.233
84695,85083,2823.167,2836.1,12.967
85666,86054,2855.533,2868.467,12.967
88629,88897,2954.3,2963.233,8.967
89450,89884,2981.667,2996.133,14.5
90473,91029,3015.767,3034.3,18.567
91658,91922,3055.267,3064.067,8.833
91952,92120,3065.067,3070.667,5.633
92680,93191,3089.333,3106.367,17.067
93218,93387,3107.267,3112.9,5.667
94781,95164,3159.367,3172.133,12.8
95628,96457,3187.6,3215.233,27.667
96946,97130,3231.533,3237.667,6.167
100933,101564,3364.433,3385.467,21.067
102051,102495,3401.7,3416.5,14.833
102525,103139,3417.5,3437.967,20.5
104076,104374,3469.2,3479.133,9.967
104874,105679,3495.8,3522.633,26.867
106263,107299,3542.1,3576.633,34.567
108137,108751,3604.567,3625.033,20.5
108795,108929,3626.5,3630.967,4.5
110256,110935,3675.2,3697.833,22.667
111957,112366,3731.9,3745.533,13.667
112779,113445,3759.3,3781.5,22.233
114135,114671,3804.5,3822.367,17.9
115437,115693,3847.9,3856.433,8.567
116214,116716,3873.8,3890.533,16.767
118245,118433,3941.5,3947.767,6.3
118902,120398,3963.4,4013.267,49.9
120431,120561,4014.367,4018.7,4.367
122320,122446,4077.333,4081.533,4.233
123587,123776,4119.567,4125.867,6.333
124222,124532,4140.733,4151.067,10.367
125373,125911,4179.1,4197.033,17.967
129652,130042,4321.733,4334.733,13.033
130419,130829,4347.3,4360.967,13.7
133457,133660,4448.567,4455.333,6.8
134100,134950,4470.0,4498.333,28.367
134972,135080,4499.067,4502.667,3.633
136065,136456,4535.5,4548.533,13.067
137010,137199,4567.0,4573.3,6.333
137682,137989,4589.4,4599.633,10.267
139073,139731,4635.767,4657.7,21.967
141056,141346,4701.867,4711.533,9.7
141768,142070,4725.6,4735.667,10.1
143534,143655,4784.467,4788.5,4.067
144143,144735,4804.767,4824.5,19.767
144765,145178,4825.5,4839.267,13.8
145691,146350,4856.367,4878.333,22.0
147056,147266,4901.867,4908.867,7.033
147738,148354,4924.6,4945.133,20.567
149172,149587,4972.4,4986.233,13.867
150852,151442,5028.4,5048.067,19.7
152454,152611,5081.8,5087.033,5.267
153442,153787,5114.733,5126.233,11.533
154355,154807,5145.167,5160.233,15.1
156138,156655,5204.6,5221.833,17.267
157460,157941,5248.667,5264.7,16.067
159328,159789,5310.933,5326.3,15.4
