match,split,kind,start_frame,end_frame,start_sec,end_sec,duration_sec
TTY_vs_ASY_2023,dev,FN 漏掉,11586,12130,386.2,404.33,18.17
TTY_vs_ASY_2023,dev,FP 多切,11587,11619,386.23,387.3,1.1
TTY_vs_ASY_2023,dev,FP 多切,11743,12130,391.43,404.33,12.93
TTY_vs_ASY_2023,dev,FN 漏掉,54751,55207,1825.03,1840.23,15.23
TTY_vs_ASY_2023,dev,FP 多切,54757,54807,1825.23,1826.9,1.7
TTY_vs_ASY_2023,dev,FP 多切,54910,55207,1830.33,1840.23,9.93
TTY_vs_ASY_2023,dev,FN 漏掉,100933,101564,3364.43,3385.47,21.07
TTY_vs_ASY_2023,dev,FP 多切,100936,100971,3364.53,3365.7,1.2
TTY_vs_ASY_2023,dev,FP 多切,101059,101564,3368.63,3385.47,16.87
test1,test,FN 漏掉,204,629,8.16,25.16,17.04
test1,test,FP 多切,349,629,13.96,25.16,11.24
test2,test,FN 漏掉,24031,24457,961.24,978.28,17.08
test2,test,FP 多切,24034,24101,961.36,964.04,2.72
test2,test,FP 多切,24124,24457,964.96,978.28,13.36
test3,test,FN 漏掉,98585,98796,3943.4,3951.84,8.48
test3,test,FP 多切,98587,98715,3943.48,3948.6,5.16
test3,test,FP 多切,98734,98796,3949.36,3951.84,2.52
test4,test,FN 漏掉,11162,11599,446.48,463.96,17.52
test4,test,FN 漏掉,11913,12682,476.52,507.28,30.8
test4,test,FP 多切,12661,12682,506.44,507.28,0.88
test6,test,FP 多切,40624,40725,1624.96,1629.0,4.08
test6,test,FN 漏掉,40624,40883,1624.96,1635.32,10.4
test6,test,FP 多切,40747,40883,1629.88,1635.32,5.48
test6,test,FP 多切,41455,41505,1658.2,1660.2,2.04
test6,test,FN 漏掉,41455,41740,1658.2,1669.6,11.44
test6,test,FP 多切,41545,41625,1661.8,1665.0,3.24
test6,test,FP 多切,41677,41740,1667.08,1669.6,2.56
