match,split,fps,truth,output,matched,fp,fn,precision,recall,f1,start_median,start_mean,start_mae,start_min,start_max,end_median,end_mean,end_mae,end_min,end_max
ASG_vs_AA_2020,dev,25.0,104,104,104,0,0,100.0,100.0,100.0,0.0,-0.05,0.05,-1,0,0.0,0.0,0.0,0,0
ASY_vs_PC_2021,dev,30.0,83,83,83,0,0,100.0,100.0,100.0,0,0.57,0.57,0,3,0,-0.05,0.05,-3,0
CTC_vs_CL_2019,dev,25.0,74,74,74,0,0,100.0,100.0,100.0,0.0,-0.14,0.27,-5,3,0.0,0.0,0.0,0,0
MK_vs_CT_2019,dev,25.0,123,123,123,0,0,100.0,100.0,100.0,0,0.24,0.24,0,3,0,0.0,0.0,0,0
PC_vs_PVS_2020,dev,30.0,84,84,84,0,0,100.0,100.0,100.0,0.0,-0.15,0.49,-4,3,0.0,0.0,0.0,0,0
RI_vs_PVS_2021,dev,30.0,72,72,72,0,0,100.0,100.0,100.0,0.0,0.33,0.39,-2,3,0.0,0.0,0.0,0,0
TTY_vs_ASY_2023,dev,30.0,144,147,141,6,3,95.92,97.92,96.91,0,0.27,0.31,-3,6,0,0.0,0.0,0,0
test1,test,25.0,23,23,22,1,1,95.65,95.65,95.65,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
test2,test,25.0,122,123,121,2,1,98.37,99.18,98.78,0,0.34,0.34,0,3,0,-0.05,0.05,-6,0
test3,test,25.0,99,100,98,2,1,98.0,98.99,98.49,0.0,0.09,0.09,0,3,0.0,0.0,0.0,0,0
test4,test,25.0,79,78,77,1,2,98.72,97.47,98.09,0,0.34,0.34,0,4,0,-0.09,0.09,-7,0
test5,test,25.0,70,70,70,0,0,100.0,100.0,100.0,0.0,0.14,0.14,0,3,0.0,-0.14,0.14,-10,0
test6,test,25.0,71,74,69,5,2,93.24,97.18,95.17,0,-0.09,0.12,-2,1,0,0.0,0.0,0,0
test7,test,25.0,74,74,74,0,0,100.0,100.0,100.0,0.0,0.32,0.32,0,3,0.0,0.0,0.0,0,0
test8,test,25.0,66,66,66,0,0,100.0,100.0,100.0,0.0,0.06,0.06,0,3,0.0,0.0,0.0,0,0
test9,test,25.0,66,66,66,0,0,100.0,100.0,100.0,0.0,0.11,0.11,0,2,0.0,-0.11,0.11,-7,0
